rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	uniprot_model
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000198099	P08319
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000248144	P00326
MAR03907	R00746	1.1.1.2	forward	ethanol;NADP+	C00469;C00006	acetaldehyde;H+;NADPH	C00084;C00080;C00005	ENSG00000117448	P14550
MAR04097	R00235	6.2.1.1	forward	acetate;ATP;CoA	C00033;C00002;C00010	acetyl-CoA;AMP;PPi	C00024;C00020;C00013	ENSG00000131069	Q9NR19
MAR04099	R00235	6.2.1.1	forward	acetate;ATP;CoA	C00033;C00002;C00010	acetyl-CoA;AMP;PPi	C00024;C00020;C00013	ENSG00000111058	Q9H6R3
MAR04099	R00235	6.2.1.1	forward	acetate;ATP;CoA	C00033;C00002;C00010	acetyl-CoA;AMP;PPi	C00024;C00020;C00013	ENSG00000154930	Q9NUB1
MAR04108	R00236	6.2.1.1	forward	acetyl adenylate;CoA	C05993;C00010	acetyl-CoA;AMP;H+	C00024;C00020;C00080	ENSG00000131069	Q9NR19
MAR04133	R00316	6.2.1.1	forward	acetate;ATP;H+	C00033;C00002;C00080	acetyl adenylate;PPi	C05993;C00013	ENSG00000131069	Q9NR19
MAR04281	R00703	1.1.1.27	forward	H+;NADH;pyruvate	C00080;C00004;C00022	L-lactate;NAD+	C00186;C00003	ENSG00000111716	P07195
MAR04281	R00703	1.1.1.27	reverse	L-lactate;NAD+	C00186;C00003	H+;NADH;pyruvate	C00080;C00004;C00022	ENSG00000111716	P07195
MAR04281	R00703	1.1.1.27	forward	H+;NADH;pyruvate	C00080;C00004;C00022	L-lactate;NAD+	C00186;C00003	ENSG00000134333	P00338
MAR04281	R00703	1.1.1.27	reverse	L-lactate;NAD+	C00186;C00003	H+;NADH;pyruvate	C00080;C00004;C00022	ENSG00000134333	P00338
MAR04388	R00703	1.1.1.27	forward	H+;NADH;pyruvate	C00080;C00004;C00022	L-lactate;NAD+	C00186;C00003	ENSG00000166796	P07864
MAR04388	R00703	1.1.1.27	reverse	L-lactate;NAD+	C00186;C00003	H+;NADH;pyruvate	C00080;C00004;C00022	ENSG00000166796	P07864
MAR04388	R00703	1.1.1.27	forward	H+;NADH;pyruvate	C00080;C00004;C00022	L-lactate;NAD+	C00186;C00003	ENSG00000166800	Q6ZMR3
MAR04388	R00703	1.1.1.27	reverse	L-lactate;NAD+	C00186;C00003	H+;NADH;pyruvate	C00080;C00004;C00022	ENSG00000166800	Q6ZMR3
MAR04388	R00703	1.1.1.27	forward	H+;NADH;pyruvate	C00080;C00004;C00022	L-lactate;NAD+	C00186;C00003	ENSG00000171989	Q9BYZ2
MAR04388	R00703	1.1.1.27	reverse	L-lactate;NAD+	C00186;C00003	H+;NADH;pyruvate	C00080;C00004;C00022	ENSG00000171989	Q9BYZ2
MAR04283	R00711	1.2.1.5	forward	acetaldehyde;H2O;NADP+	C00084;C00001;C00006	acetate;H+;NADPH	C00033;C00080;C00005	ENSG00000006534	P43353
MAR04283	R00711	1.2.1.5	forward	acetaldehyde;H2O;NADP+	C00084;C00001;C00006	acetate;H+;NADPH	C00033;C00080;C00005	ENSG00000108602	P30838
MAR04283	R00711	1.2.1.5	forward	acetaldehyde;H2O;NADP+	C00084;C00001;C00006	acetate;H+;NADPH	C00033;C00080;C00005	ENSG00000132746	P48448
MAR04283	R00711	1.2.1.5	forward	acetaldehyde;H2O;NADP+	C00084;C00001;C00006	acetate;H+;NADPH	C00033;C00080;C00005	ENSG00000184254	P47895
MAR08357	R00710	1.2.1.3	forward	acetaldehyde;H2O;NAD+	C00084;C00001;C00003	acetate;H+;NADH	C00033;C00080;C00004	ENSG00000072210	P51648
MAR08357	R00710	1.2.1.3	forward	acetaldehyde;H2O;NAD+	C00084;C00001;C00003	acetate;H+;NADH	C00033;C00080;C00004	ENSG00000111275	P05091
MAR08357	R00710	1.2.1.3	forward	acetaldehyde;H2O;NAD+	C00084;C00001;C00003	acetate;H+;NADH	C00033;C00080;C00004	ENSG00000137124	P30837
MAR08357	R00710	1.2.1.3	forward	acetaldehyde;H2O;NAD+	C00084;C00001;C00003	acetate;H+;NADH	C00033;C00080;C00004	ENSG00000143149	P49189
MAR08357	R00710	1.2.1.3	forward	acetaldehyde;H2O;NAD+	C00084;C00001;C00003	acetate;H+;NADH	C00033;C00080;C00004	ENSG00000164904	P49419
MAR04379	R00756	2.7.1.11	forward	ATP;fructose-6-phosphate	C00002;C00085	ADP;fructose-1,6-bisphosphate;H+	C00008;C00354;C00080	ENSG00000067057	Q01813
MAR04379	R00756	2.7.1.11	forward	ATP;fructose-6-phosphate	C00002;C00085	ADP;fructose-1,6-bisphosphate;H+	C00008;C00354;C00080	ENSG00000141959	P17858
MAR04379	R00756	2.7.1.11	forward	ATP;fructose-6-phosphate	C00002;C00085	ADP;fructose-1,6-bisphosphate;H+	C00008;C00354;C00080	ENSG00000152556	P08237
MAR04301	R00769	2.7.1.11	forward	fructose-6-phosphate;UTP	C00085;C00075	fructose-1,6-bisphosphate;H+;UDP	C00354;C00080;C00015	ENSG00000067057	Q01813
MAR04301	R00769	2.7.1.11	forward	fructose-6-phosphate;UTP	C00085;C00075	fructose-1,6-bisphosphate;H+;UDP	C00354;C00080;C00015	ENSG00000141959	P17858
MAR04301	R00769	2.7.1.11	forward	fructose-6-phosphate;UTP	C00085;C00075	fructose-1,6-bisphosphate;H+;UDP	C00354;C00080;C00015	ENSG00000152556	P08237
MAR04355	R01829	4.1.2.13	forward	DHAP;erythrose-4-phosphate	C00111;C00279	sedoheptulose-1,7-bisphosphate	C00447	ENSG00000109107	P09972
MAR04355	R01829	4.1.2.13	forward	DHAP;erythrose-4-phosphate	C00111;C00279	sedoheptulose-1,7-bisphosphate	C00447	ENSG00000136872	P05062
MAR04358	R00200	2.7.1.40	forward	ADP;H+;PEP	C00008;C00080;C00074	ATP;pyruvate	C00002;C00022	ENSG00000067225	P14618
MAR04358	R00200	2.7.1.40	forward	ADP;H+;PEP	C00008;C00080;C00074	ATP;pyruvate	C00002;C00022	ENSG00000143627	P30613
MAR04360	R00205	1.2.1.49	forward	H2O;methylglyoxal;NADP+	C00001;C00546;C00006	H+;NADPH;pyruvate	C00080;C00005;C00022	ENSG00000180011	Q8N4Q0
MAR04363	R00658	4.2.1.11	forward	2-phospho-D-glycerate	C00631	H2O;PEP	C00001;C00074	ENSG00000074800	P06733
MAR04363	R00658	4.2.1.11	reverse	H2O;PEP	C00001;C00074	2-phospho-D-glycerate	C00631	ENSG00000074800	P06733
MAR04363	R00658	4.2.1.11	forward	2-phospho-D-glycerate	C00631	H2O;PEP	C00001;C00074	ENSG00000108515	P13929
MAR04363	R00658	4.2.1.11	reverse	H2O;PEP	C00001;C00074	2-phospho-D-glycerate	C00631	ENSG00000108515	P13929
MAR04363	R00658	4.2.1.11	forward	2-phospho-D-glycerate	C00631	H2O;PEP	C00001;C00074	ENSG00000111674	P09104
MAR04363	R00658	4.2.1.11	reverse	H2O;PEP	C00001;C00074	2-phospho-D-glycerate	C00631	ENSG00000111674	P09104
MAR04365	R01518	5.4.2.11	forward	2-phospho-D-glycerate	C00631	3-phospho-D-glycerate	C00197	ENSG00000164708	P15259
MAR04365	R01518	5.4.2.11	reverse	3-phospho-D-glycerate	C00197	2-phospho-D-glycerate	C00631	ENSG00000164708	P15259
MAR04365	R01518	5.4.2.11	forward	2-phospho-D-glycerate	C00631	3-phospho-D-glycerate	C00197	ENSG00000171314	P18669
MAR04365	R01518	5.4.2.11	reverse	3-phospho-D-glycerate	C00197	2-phospho-D-glycerate	C00631	ENSG00000171314	P18669
MAR04365	R01518	5.4.2.11	forward	2-phospho-D-glycerate	C00631	3-phospho-D-glycerate	C00197	ENSG00000172331	P07738
MAR04365	R01518	5.4.2.11	reverse	3-phospho-D-glycerate	C00197	2-phospho-D-glycerate	C00631	ENSG00000172331	P07738
MAR04365	R01518	5.4.2.11	forward	2-phospho-D-glycerate	C00631	3-phospho-D-glycerate	C00197	ENSG00000226784	Q8N0Y7
MAR04365	R01518	5.4.2.11	reverse	3-phospho-D-glycerate	C00197	2-phospho-D-glycerate	C00631	ENSG00000226784	Q8N0Y7
MAR04368	R01512	2.7.2.3	forward	1,3-bisphospho-D-glycerate;ADP	C00236;C00008	3-phospho-D-glycerate;ATP	C00197;C00002	ENSG00000096006	P54108
MAR04368	R01512	2.7.2.3	reverse	3-phospho-D-glycerate;ATP	C00197;C00002	1,3-bisphospho-D-glycerate;ADP	C00236;C00008	ENSG00000096006	P54108
MAR04368	R01512	2.7.2.3	forward	1,3-bisphospho-D-glycerate;ADP	C00236;C00008	3-phospho-D-glycerate;ATP	C00197;C00002	ENSG00000102144	P00558
MAR04368	R01512	2.7.2.3	reverse	3-phospho-D-glycerate;ATP	C00197;C00002	1,3-bisphospho-D-glycerate;ADP	C00236;C00008	ENSG00000102144	P00558
MAR04368	R01512	2.7.2.3	forward	1,3-bisphospho-D-glycerate;ADP	C00236;C00008	3-phospho-D-glycerate;ATP	C00197;C00002	ENSG00000170950	P07205
MAR04368	R01512	2.7.2.3	reverse	3-phospho-D-glycerate;ATP	C00197;C00002	1,3-bisphospho-D-glycerate;ADP	C00236;C00008	ENSG00000170950	P07205
MAR04370	R01515	3.6.1.7	forward	1,3-bisphospho-D-glycerate;H2O	C00236;C00001	3-phospho-D-glycerate;H+;Pi	C00197;C00080;C00009	ENSG00000119640	P07311
MAR04370	R01515	3.6.1.7	forward	1,3-bisphospho-D-glycerate;H2O	C00236;C00001	3-phospho-D-glycerate;H+;Pi	C00197;C00080;C00009	ENSG00000170634	P14621
MAR04371	R01662	5.4.2.4	forward	1,3-bisphospho-D-glycerate	C00236	2,3-bisphospho-D-glycerate;H+	C01159;C00080	ENSG00000164708	P15259
MAR04371	R01662	5.4.2.4	forward	1,3-bisphospho-D-glycerate	C00236	2,3-bisphospho-D-glycerate;H+	C01159;C00080	ENSG00000171314	P18669
MAR04371	R01662	5.4.2.4	forward	1,3-bisphospho-D-glycerate	C00236	2,3-bisphospho-D-glycerate;H+	C01159;C00080	ENSG00000172331	P07738
MAR04371	R01662	5.4.2.4	forward	1,3-bisphospho-D-glycerate	C00236	2,3-bisphospho-D-glycerate;H+	C01159;C00080	ENSG00000226784	Q8N0Y7
MAR04372	R01516	3.1.3.13	forward	2,3-bisphospho-D-glycerate;H2O	C01159;C00001	3-phospho-D-glycerate;Pi	C00197;C00009	ENSG00000119640	P07311
MAR04372	R01516	3.1.3.13	forward	2,3-bisphospho-D-glycerate;H2O	C01159;C00001	3-phospho-D-glycerate;Pi	C00197;C00009	ENSG00000170634	P14621
MAR04373	R01061	1.2.1.12	forward	1,3-bisphospho-D-glycerate;H+;NADH	C00236;C00080;C00004	D-glyceraldehyde 3-phosphate;NAD+;Pi	C00118;C00003;C00009	ENSG00000105679	O14556
MAR04373	R01061	1.2.1.12	reverse	D-glyceraldehyde 3-phosphate;NAD+;Pi	C00118;C00003;C00009	1,3-bisphospho-D-glycerate;H+;NADH	C00236;C00080;C00004	ENSG00000105679	O14556
MAR04373	R01061	1.2.1.12	forward	1,3-bisphospho-D-glycerate;H+;NADH	C00236;C00080;C00004	D-glyceraldehyde 3-phosphate;NAD+;Pi	C00118;C00003;C00009	ENSG00000111640	P04406
MAR04373	R01061	1.2.1.12	reverse	D-glyceraldehyde 3-phosphate;NAD+;Pi	C00118;C00003;C00009	1,3-bisphospho-D-glycerate;H+;NADH	C00236;C00080;C00004	ENSG00000111640	P04406
MAR04375	R01068	4.1.2.13	forward	DHAP;D-glyceraldehyde 3-phosphate	C00111;C00118	fructose-1,6-bisphosphate	C00354	ENSG00000109107	P09972
MAR04375	R01068	4.1.2.13	reverse	fructose-1,6-bisphosphate	C00354	DHAP;D-glyceraldehyde 3-phosphate	C00111;C00118	ENSG00000109107	P09972
MAR04375	R01068	4.1.2.13	forward	DHAP;D-glyceraldehyde 3-phosphate	C00111;C00118	fructose-1,6-bisphosphate	C00354	ENSG00000136872	P05062
MAR04375	R01068	4.1.2.13	reverse	fructose-1,6-bisphosphate	C00354	DHAP;D-glyceraldehyde 3-phosphate	C00111;C00118	ENSG00000136872	P05062
MAR04375	R01068	4.1.2.13	forward	DHAP;D-glyceraldehyde 3-phosphate	C00111;C00118	fructose-1,6-bisphosphate	C00354	ENSG00000149925	P04075
MAR04375	R01068	4.1.2.13	reverse	fructose-1,6-bisphosphate	C00354	DHAP;D-glyceraldehyde 3-phosphate	C00111;C00118	ENSG00000149925	P04075
MAR04377	R00762	3.1.3.11	forward	fructose-1,6-bisphosphate;H2O	C00354;C00001	fructose-6-phosphate;Pi	C00085;C00009	ENSG00000130957	O00757
MAR04377	R00762	3.1.3.11	forward	fructose-1,6-bisphosphate;H2O	C00354;C00001	fructose-6-phosphate;Pi	C00085;C00009	ENSG00000165140	P09467
MAR04381	R00771	5.3.1.9	forward	fructose-6-phosphate	C00085	glucose-6-phosphate	C00092	ENSG00000105220	P06744
MAR04381	R00771	5.3.1.9	reverse	glucose-6-phosphate	C00092	fructose-6-phosphate	C00085	ENSG00000105220	P06744
MAR04391	R01015	5.3.1.1	forward	DHAP	C00111	D-glyceraldehyde 3-phosphate	C00118	ENSG00000111669	P60174
MAR04391	R01015	5.3.1.1	reverse	D-glyceraldehyde 3-phosphate	C00118	DHAP	C00111	ENSG00000111669	P60174
MAR04394	R00299	2.7.1.1	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000106633	P35557
MAR04394	R00299	2.7.1.1	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000156510	Q2TB90
MAR04394	R00299	2.7.1.1	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000156515	P19367
MAR04394	R00299	2.7.1.1	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000159399	P52789
MAR04394	R00299	2.7.1.1	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000160883	P52790
MAR04394	R00299	2.7.1.2	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000106633	P35557
MAR04394	R00299	2.7.1.2	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000156510	Q2TB90
MAR04394	R00299	2.7.1.2	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000156515	P19367
MAR04394	R00299	2.7.1.2	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000159399	P52789
MAR04394	R00299	2.7.1.2	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000160883	P52790
MAR04394	R00299	2.7.1.147	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000106633	P35557
MAR04394	R00299	2.7.1.147	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000156510	Q2TB90
MAR04394	R00299	2.7.1.147	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000156515	P19367
MAR04394	R00299	2.7.1.147	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000159399	P52789
MAR04394	R00299	2.7.1.147	forward	ATP;glucose	C00002;C00031	ADP;glucose-6-phosphate;H+	C00008;C00092;C00080	ENSG00000160883	P52790
MAR04396	R08639	5.4.2.2	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000079739	P36871
MAR04396	R08639	5.4.2.2	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000079739	P36871
MAR04396	R08639	5.4.2.2	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000169299	Q96G03
MAR04396	R08639	5.4.2.2	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000169299	Q96G03
MAR04396	R08639	5.4.2.5	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000079739	P36871
MAR04396	R08639	5.4.2.5	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000079739	P36871
MAR04396	R08639	5.4.2.5	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000169299	Q96G03
MAR04396	R08639	5.4.2.5	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000169299	Q96G03
MAR04396	R08639	5.4.2.6	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000079739	P36871
MAR04396	R08639	5.4.2.6	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000079739	P36871
MAR04396	R08639	5.4.2.6	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000169299	Q96G03
MAR04396	R08639	5.4.2.6	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000169299	Q96G03
MAR04396	R08639	5.2.2.2	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000079739	P36871
MAR04396	R08639	5.2.2.2	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000079739	P36871
MAR04396	R08639	5.2.2.2	forward	glucose-1-phosphate	C00103	glucose-6-phosphate	C00092	ENSG00000169299	Q96G03
MAR04396	R08639	5.2.2.2	reverse	glucose-6-phosphate	C00092	glucose-1-phosphate	C00103	ENSG00000169299	Q96G03
MAR04521	R00303	3.1.3.9	forward	glucose-6-phosphate;H2O	C00092;C00001	glucose;Pi	C00031;C00009	ENSG00000131482	P35575
MAR04521	R00303	3.1.3.9	forward	glucose-6-phosphate;H2O	C00092;C00001	glucose;Pi	C00031;C00009	ENSG00000141349	Q9BUM1
MAR04521	R00303	3.1.3.9	forward	glucose-6-phosphate;H2O	C00092;C00001	glucose;Pi	C00031;C00009	ENSG00000152254	Q9NQR9
MAR06412	R02569	2.3.1.12	forward	CoA;S-acetyldihydrolipoamide	C00010;C01136	acetyl-CoA;dihydrolipoamide	C00024;C00579	ENSG00000110435;ENSG00000150768	O00330;P10515
MAR07745	R01602	5.1.3.3	forward	beta-D-glucose	C00221	glucose	C00031	ENSG00000143891	Q96C23
MAR07745	R01602	5.1.3.3	reverse	glucose	C00031	beta-D-glucose	C00221	ENSG00000143891	Q96C23
MAR07747	R09086	2.7.1.147	forward	ADP;glucose	C00008;C00031	AMP;glucose-6-phosphate;H+	C00020;C00092;C00080	ENSG00000159322	Q9BRR6
MAR08360		1.11.1.6	forward	ethanol;H2O2	C00469;C00027	acetaldehyde;H2O	C00084;C00001	ENSG00000121691	P04040
MAR08652		3.1.3.9	forward	carbamoyl-phosphate;glucose	C00169;C00031	CO2;glucose-6-phosphate;NH3	C00011;C00092;C00014	ENSG00000131482	P35575
MAR08652		3.1.3.9	forward	carbamoyl-phosphate;glucose	C00169;C00031	CO2;glucose-6-phosphate;NH3	C00011;C00092;C00014	ENSG00000141349	Q9BUM1
MAR08652		3.1.3.9	forward	carbamoyl-phosphate;glucose	C00169;C00031	CO2;glucose-6-phosphate;NH3	C00011;C00092;C00014	ENSG00000152254	Q9NQR9
MAR03989	R00028	3.2.1.20	forward	H2O;maltose	C00001;C00208	glucose	C00031	ENSG00000092529	P20807
MAR03989	R00028	3.2.1.20	forward	H2O;maltose	C00001;C00208	glucose	C00031	ENSG00000171298	P10253
MAR03989	R00028	3.2.1.20	forward	H2O;maltose	C00001;C00208	glucose	C00031	ENSG00000214013	Q8TET4
MAR03989	R00028	3.2.1.20	forward	H2O;maltose	C00001;C00208	glucose	C00031	ENSG00000257335	O43451
MAR04122	R00286	1.1.1.22	forward	H2O;NAD+;UDP-glucose	C00001;C00003;C00029	H+;NADH;UDP-glucuronate	C00080;C00004;C00167	ENSG00000109814	O60701
MAR04837	R00010	3.2.1.28	forward	H2O;trehalose	C00001;C01083	glucose	C00031	ENSG00000118094	O43280
MAR04837	R00010	3.2.1.28	forward	H2O;trehalose	C00001;C01083	glucose	C00031	ENSG00000142102	Q32M88
MAR05395	R03681	2.4.1.186	forward	glycogenin;UDP-glucose	C01702;C00029	glycogenin G8;H+;UDP	;C00080;C00015	ENSG00000056998	O15488
MAR05395	R03681	2.4.1.186	forward	glycogenin;UDP-glucose	C01702;C00029	glycogenin G8;H+;UDP	;C00080;C00015	ENSG00000163754	P46976
MAR05396		2.4.1.11	forward	glycogenin G8;UDP-glucose	;C00029	glycogenin G11;H+;UDP	;C00080;C00015	ENSG00000056998	O15488
MAR05396		2.4.1.11	forward	glycogenin G8;UDP-glucose	;C00029	glycogenin G11;H+;UDP	;C00080;C00015	ENSG00000104812	P13807
MAR05396		2.4.1.11	forward	glycogenin G8;UDP-glucose	;C00029	glycogenin G11;H+;UDP	;C00080;C00015	ENSG00000111713	P54840
MAR05396		2.4.1.11	forward	glycogenin G8;UDP-glucose	;C00029	glycogenin G11;H+;UDP	;C00080;C00015	ENSG00000163754	P46976
MAR09727		2.4.1.11	forward	UDP-glucose	C00029	H+;UDP;glycogen	C00080;C00015;C00182	ENSG00000104812	P13807
MAR09727		2.4.1.11	forward	UDP-glucose	C00029	H+;UDP;glycogen	C00080;C00015;C00182	ENSG00000111713	P54840
MAR09727		2.4.1.11	forward	UDP-glucose	C00029	H+;UDP;glycogen	C00080;C00015;C00182	ENSG00000119938	Q9UQK1
MAR09727		2.4.1.11	forward	UDP-glucose	C00029	H+;UDP;glycogen	C00080;C00015;C00182	ENSG00000173281	Q86XI6
MAR05397		2.4.1.18	forward	glycogenin G11		glycogenin G4G7		ENSG00000114480	Q04446
MAR05398		2.4.1.1	forward	glycogenin G4G7;Pi	;C00009	glucose-1-phosphate;glycogenin G4G4	C00103;	ENSG00000068976	P11217
MAR05398		2.4.1.1	forward	glycogenin G4G7;Pi	;C00009	glucose-1-phosphate;glycogenin G4G4	C00103;	ENSG00000100504	P06737
MAR05398		2.4.1.1	forward	glycogenin G4G7;Pi	;C00009	glucose-1-phosphate;glycogenin G4G4	C00103;	ENSG00000100994	P11216
MAR05399		2.4.1.25	forward	glycogenin G4G4		glycogenin G7G1		ENSG00000162688	P35573
MAR05400		3.2.1.33	forward	glycogenin G7G1;H2O	;C00001	glucose;glycogenin G7	C00031;	ENSG00000162688	P35573
MAR05401		2.4.1.1	forward	glycogenin G7;Pi	;C00009	glucose-1-phosphate;glycogenin	C00103;C01702	ENSG00000068976	P11217
MAR05401		2.4.1.1	forward	glycogenin G7;Pi	;C00009	glucose-1-phosphate;glycogenin	C00103;C01702	ENSG00000100504	P06737
MAR05401		2.4.1.1	forward	glycogenin G7;Pi	;C00009	glucose-1-phosphate;glycogenin	C00103;C01702	ENSG00000100994	P11216
MAR08568		3.2.1.1	forward	H2O;maltodecaose	C00001;	fructose;maltononaose	C02336;	ENSG00000120563	Q6UWQ5
MAR08568		3.2.1.1	forward	H2O;maltodecaose	C00001;	fructose;maltononaose	C02336;	ENSG00000174876	P0DTE7;P0DUB6
MAR08568		3.2.1.1	forward	H2O;maltodecaose	C00001;	fructose;maltononaose	C02336;	ENSG00000187733	P04746;P0DTE8;P0DUB6
MAR08568		3.2.1.1	forward	H2O;maltodecaose	C00001;	fructose;maltononaose	C02336;	ENSG00000237763	P0DUB6
MAR08568		3.2.1.1	forward	H2O;maltodecaose	C00001;	fructose;maltononaose	C02336;	ENSG00000240038	P19961
MAR08568		3.2.1.1	forward	H2O;maltodecaose	C00001;	fructose;maltononaose	C02336;	ENSG00000243480	P04746
MAR08569		3.2.1.1	forward	H2O;maltodecaose	C00001;	glucose;maltononaose	C00031;	ENSG00000120563	Q6UWQ5
MAR08569		3.2.1.1	forward	H2O;maltodecaose	C00001;	glucose;maltononaose	C00031;	ENSG00000174876	P0DTE7;P0DUB6
MAR08569		3.2.1.1	forward	H2O;maltodecaose	C00001;	glucose;maltononaose	C00031;	ENSG00000187733	P04746;P0DTE8;P0DUB6
MAR08569		3.2.1.1	forward	H2O;maltodecaose	C00001;	glucose;maltononaose	C00031;	ENSG00000237763	P0DUB6
MAR08569		3.2.1.1	forward	H2O;maltodecaose	C00001;	glucose;maltononaose	C00031;	ENSG00000240038	P19961
MAR08569		3.2.1.1	forward	H2O;maltodecaose	C00001;	glucose;maltononaose	C00031;	ENSG00000243480	P04746
MAR08570		3.2.1.1	forward	H2O;maltononaose	C00001;	fructose;maltoheptaose	C02336;	ENSG00000120563	Q6UWQ5
