rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	uniprot_model	kcat	matching_score	catalytic_enzyme	kcat_substrate	kcat_organism	kcat_enzyme	kcat_temperature	kcat_ph	kcat_variant	kcat_db	kcat_id_percent
r_0018	R01939	2.6.1.39	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YER152C	P10356	18.4	4	P10356	L-2-aminoadipate	Saccharomyces cerevisiae			7.0		brenda	-1.0
r_0018	R01939	2.6.1.39	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YGL202W	P53090	12.8	4	P53090	L-glutamate	Saccharomyces cerevisiae			7.0		brenda	-1.0
r_0018	R01939	2.6.1.39	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YGL202W	P53090	18.4	4	P53090	L-2-aminoadipate	Saccharomyces cerevisiae			7.0		brenda	-1.0
r_0018	R01939	2.6.1.39	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YJL060W	P47039	12.8	4	P47039	L-glutamate	Saccharomyces cerevisiae			7.0		brenda	-1.0
r_0018	R01939	2.6.1.39	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YJL060W	P47039	18.4	4	P47039	L-2-aminoadipate	Saccharomyces cerevisiae			7.0		brenda	-1.0
r_0018	R01939	2.6.1.57	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YER152C	P10356	10.3	5	P10356	L-glutamate	Aspergillus fumigatus		25	7.4		brenda	-1.0
r_0018	R01939	2.6.1.57	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YER152C	P10356	12.5	5	P10356	2-oxoglutarate	Aspergillus fumigatus		25	7.4		brenda	-1.0
r_0018	R01939	2.6.1.57	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YGL202W	P53090	10.3	5	P53090	L-glutamate	Aspergillus fumigatus		25	7.4		brenda	-1.0
r_0018	R01939	2.6.1.57	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YGL202W	P53090	12.5	5	P53090	2-oxoglutarate	Aspergillus fumigatus		25	7.4		brenda	-1.0
r_0018	R01939	2.6.1.57	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YJL060W	P47039	10.3	5	P47039	L-glutamate	Aspergillus fumigatus		25	7.4		brenda	-1.0
r_0018	R01939	2.6.1.57	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YJL060W	P47039	12.5	5	P47039	2-oxoglutarate	Aspergillus fumigatus		25	7.4		brenda	-1.0
r_0018	R01939	2.6.1.7	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YER152C	P10356	0.0018	8	P10356	2-oxobutyrate	Haemaphysalis longicornis	B1B6U5	37.0	7.5		brenda	24.53
r_0018	R01939	2.6.1.7	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YER152C	P10356	7.67	5	P10356	2-oxoglutarate	Homo sapiens	Q8N5Z0	37.0	7.4		brenda	24.18
r_0018	R01939	2.6.1.7	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YGL202W	P53090	0.065	8	P53090	oxaloacetate	Homo sapiens	Q8N5Z0	37.0	7.4		brenda	27.94
r_0018	R01939	2.6.1.7	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YGL202W	P53090	7.67	5	P53090	2-oxoglutarate	Homo sapiens	Q8N5Z0	37.0	7.4		brenda	27.94
r_0018	R01939	2.6.1.7	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YJL060W	P47039	0.0018	8	P47039	2-oxobutyrate	Haemaphysalis longicornis	B1B6U5	37.0	7.5		brenda	31.35
r_0018	R01939	2.6.1.7	reverse	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	2-oxoadipic acid;L-glutamate	C00322;C00025	YJL060W	P47039	7.67	5	P47039	2-oxoglutarate	Homo sapiens	Q8N5Z0	37.0	7.4		brenda	23.44
r_0019	R02472	1.1.1.169	forward	2-dehydropantoate;H+;NADPH	C00966;C00080;C00005	(R)-pantoate;NADP(+)	C00522;C00006	YHR063C	P38787	25	4	P38787	2-dehydropantoate	Escherichia coli	P0A9J4	27.0	7.5	wildtype	brenda	24.0
r_0020	R01826	2.5.1.54	forward	D-erythrose 4-phosphate;H2O;phosphoenolpyruvate	C00279;C00001;C00074	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid;phosphate	C04691;C00009	YDR035W	P14843	14.8	4	P14843	D-erythrose 4-phosphate	Neisseria meningitidis	Q9K169	30.0	6.8	wildtype	brenda	40.55
r_0020	R01826	2.5.1.54	forward	D-erythrose 4-phosphate;H2O;phosphoenolpyruvate	C00279;C00001;C00074	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid;phosphate	C04691;C00009	YBR249C	P32449	14.8	4	P32449	D-erythrose 4-phosphate	Neisseria meningitidis	Q9K169	30.0	6.8	wildtype	brenda	41.93
r_0021	R04983	2.1.1.114	forward	2-hexaprenyl-6-methoxy-1,4-benzoquinone;S-adenosyl-L-methionine	C05803;C00019	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone;H+;S-adenosyl-L-homocysteine	C05804;C00080;C00021	YDR204W;YGR255C;YLR201C;YML110C;YOL096C;YOR125C	O13525;P49017;P53318;Q05779;P41735;P27680		15									
r_0021	R04983	2.1.1.201	forward	2-hexaprenyl-6-methoxy-1,4-benzoquinone;S-adenosyl-L-methionine	C05803;C00019	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone;H+;S-adenosyl-L-homocysteine	C05804;C00080;C00021	YDR204W;YGR255C;YLR201C;YML110C;YOL096C;YOR125C	O13525;P49017;P53318;Q05779;P41735;P27680		15									
r_0021	R04983	2.1.1.64	forward	2-hexaprenyl-6-methoxy-1,4-benzoquinone;S-adenosyl-L-methionine	C05803;C00019	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone;H+;S-adenosyl-L-homocysteine	C05804;C00080;C00021	YDR204W;YGR255C;YLR201C;YML110C;YOL096C;YOR125C	O13525;P49017;P53318;Q05779;P41735;P27680		15									
r_0022	R04982	2.1.1.114	forward	2-hexaprenyl-6-methoxyphenol;oxygen	C05802;C00007	2-hexaprenyl-6-methoxy-1,4-benzoquinone;H2O	C05803;C00001	YDR204W;YGR255C;YLR201C;YML110C;YOL096C;YOR125C	O13525;P49017;P53318;Q05779;P41735;P27680		15									
r_0022	R04982	2.1.1.201	forward	2-hexaprenyl-6-methoxyphenol;oxygen	C05802;C00007	2-hexaprenyl-6-methoxy-1,4-benzoquinone;H2O	C05803;C00001	YDR204W;YGR255C;YLR201C;YML110C;YOL096C;YOR125C	O13525;P49017;P53318;Q05779;P41735;P27680		15									
r_0022	R04982	2.1.1.64	forward	2-hexaprenyl-6-methoxyphenol;oxygen	C05802;C00007	2-hexaprenyl-6-methoxy-1,4-benzoquinone;H2O	C05803;C00001	YDR204W;YGR255C;YLR201C;YML110C;YOL096C;YOR125C	O13525;P49017;P53318;Q05779;P41735;P27680		15									
r_0023	R03968	4.2.1.33	forward	2-isopropylmaleic acid;H2O	C02631;C00001	2-isopropylmalate	C02504	YGL009C	P07264		15									
r_0023	R03968	4.2.1.33	reverse	2-isopropylmalate	C02504	2-isopropylmaleic acid;H2O	C02631;C00001	YGL009C	P07264		15									
r_0024	R01213	2.3.3.13	forward	3-methyl-2-oxobutanoate;acetyl-CoA;H2O	C00141;C00024;C00001	2-isopropylmalate;coenzyme A;H+	C02504;C00010;C00080	YNL104C	P06208	7.28	3	P06208	3-methyl-2-oxobutanoate	Saccharomyces cerevisiae		30.0	7.5		brenda	-1.0
r_0024	R01213	2.3.3.13	forward	3-methyl-2-oxobutanoate;acetyl-CoA;H2O	C00141;C00024;C00001	2-isopropylmalate;coenzyme A;H+	C02504;C00010;C00080	YOR108W	Q12166	7.28	3	Q12166	3-methyl-2-oxobutanoate	Saccharomyces cerevisiae		30.0	7.5		brenda	-1.0
r_0027	R03444	4.2.1.36	forward	homocitrate	C01251	but-1-ene-1,2,4-tricarboxylic acid;H2O	C04002;C00001	YDR234W	P49367	0.66	8	P49367	(Z)-pent-1-ene-1,2,5-tricarboxylate	Methanocaldococcus jannaschii			7.0	wildtype	brenda	-1.0
r_0027	R03444	4.2.1.36	reverse	but-1-ene-1,2,4-tricarboxylic acid;H2O	C04002;C00001	homocitrate	C01251	YDR234W	P49367	0.66	8	P49367	(Z)-pent-1-ene-1,2,5-tricarboxylate	Methanocaldococcus jannaschii			7.0	wildtype	brenda	-1.0
r_0028	R00931	2.3.3.1	forward	H2O;oxaloacetate;propionyl-CoA	C00001;C00036;C00100	2-methylcitrate;coenzyme A;H+	C02225;C00010;C00080	YPR001W	P43635	208	5	P43635	oxaloacetate	Homo sapiens	O75390		8.0	wildtype	brenda	36.59
r_0029	R01652	2.6.1.42	forward	(2S)-2-isopropyl-3-oxosuccinate;H+	C04236;C00080	4-methyl-2-oxopentanoate;carbon dioxide	C00233;C00011			42	7		glyoxylate	Homo sapiens		25.0	7.4	wildtype	brenda	-1.0
r_0032	R00188	3.1.3.7	forward	adenosine 3',5'-bismonophosphate;H2O	C00054;C00001	AMP;phosphate	C00020;C00009	YOL064C	P32179	11	5	P32179	3'-phosphoadenosine 5'-phosphate	Saccharomyces cerevisiae	P32179		8.0		brenda	100.0
r_0033	R00191	3.1.4.17	forward	3',5'-cyclic AMP;H2O	C00575;C00001	AMP;H+	C00020;C00080	YGL248W	P22434	10.8	4	P22434	3',5'-cGMP	Saccharomyces cerevisiae	P22434	22.0	7.5		brenda	100.0
r_0033	R00191	3.1.4.17	forward	3',5'-cyclic AMP;H2O	C00575;C00001	AMP;H+	C00020;C00080	YOR360C	P06776	10.8	6	P06776	3',5'-cGMP	Saccharomyces cerevisiae	P22434	22.0	7.5		brenda	21.77
r_0033	R00191	3.1.4.53	forward	3',5'-cyclic AMP;H2O	C00575;C00001	AMP;H+	C00020;C00080	YGL248W	P22434	1.6	7	P22434	3',5'-cGMP	Homo sapiens	O60658	24.0	7.5	wildtype	brenda	19.8
r_0033	R00191	3.1.4.53	forward	3',5'-cyclic AMP;H2O	C00575;C00001	AMP;H+	C00020;C00080	YOR360C	P06776	1.6	7	P06776	3',5'-cGMP	Homo sapiens	O60658	24.0	7.5	wildtype	brenda	22.62
r_0034		3.1.4.53	forward	3',5'-cyclic dAMP;H2O	C00968;C00001	dAMP;H+	C00360;C00080	YOR360C	P06776	1.6	7	P06776	3',5'-cGMP	Homo sapiens	O60658	24.0	7.5	wildtype	brenda	22.62
r_0035		3.1.4.53	forward	3',5'-cyclic IMP;H2O	C00943;C00001	H+;IMP	C00080;C00130	YOR360C	P06776	1.6	7	P06776	3',5'-cGMP	Homo sapiens	O60658	24.0	7.5	wildtype	brenda	22.62
r_0036	R01234	3.1.4.53	forward	3',5'-cyclic GMP;H2O	C00942;C00001	GMP;H+	C00144;C00080	YOR360C	P06776	1.6	7	P06776	3',5'-cGMP	Homo sapiens	O60658	24.0	7.5	wildtype	brenda	22.62
r_0037		3.1.4.53	forward	3',5'-cyclic CMP;H2O	C00941;C00001	CMP;H+	C00055;C00080	YOR360C	P06776	1.6	7	P06776	3',5'-cGMP	Homo sapiens	O60658	24.0	7.5	wildtype	brenda	22.62
r_0038	R07281	4.1.99.12	forward	D-ribulose 5-phosphate	C00199	2-hydroxy-3-oxobutyl phosphate;formate;H+	C15556;C00058;C00080	YDR487C	Q99258	2.2	5	Q99258	D-ribulose 5-phosphate	Vibrio cholerae O1	Q9KKP2	25	7.5		brenda	32.71
r_0039	R03084	1.1.1.25	forward	3-dehydroquinate	C00944	3-dehydroshikimate;H2O	C02637;C00001	YDR127W	P08566	0.36	5	P08566	3-dehydroquinate	Corynebacterium glutamicum	A4QB65	30.0	7.0		brenda	13.39
r_0039	R03084	2.5.1.19	forward	3-dehydroquinate	C00944	3-dehydroshikimate;H2O	C02637;C00001	YDR127W	P08566	5.4	7	P08566	phosphate	Pseudomonas aeruginosa		25.0	7.0	wildtype	brenda	-1.0
r_0039	R03084	2.7.1.71	forward	3-dehydroquinate	C00944	3-dehydroshikimate;H2O	C02637;C00001	YDR127W	P08566	35	7	P08566	shikimate	Dickeya chrysanthemi		25	7.0	wildtype	brenda	-1.0
r_0039	R03084	4.2.1.10	forward	3-dehydroquinate	C00944	3-dehydroshikimate;H2O	C02637;C00001	YDR127W	P08566	210	4	P08566	3-dehydroquinate	Salmonella enterica	P58687	37.0	7.5	wildtype	brenda	12.88
r_0039	R03084	4.2.3.4	forward	3-dehydroquinate	C00944	3-dehydroshikimate;H2O	C02637;C00001	YDR127W	P08566	1.5	8	P08566	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate	Providencia alcalifaciens	X6Q997	25.0	7.4		brenda	0.0
r_0040	R03083	1.1.1.25	forward	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	C04691	3-dehydroquinate;phosphate	C00944;C00009	YDR127W	P08566	50	7	P08566	3-dehydroshikimate	Mycobacterium tuberculosis	P95001	25.0	7.3	wildtype	brenda	12.89
r_0040	R03083	2.5.1.19	forward	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	C04691	3-dehydroquinate;phosphate	C00944;C00009	YDR127W	P08566	5.4	7	P08566	phosphate	Pseudomonas aeruginosa		25.0	7.0	wildtype	brenda	-1.0
r_0040	R03083	2.7.1.71	forward	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	C04691	3-dehydroquinate;phosphate	C00944;C00009	YDR127W	P08566	35	7	P08566	shikimate	Dickeya chrysanthemi		25	7.0	wildtype	brenda	-1.0
r_0040	R03083	4.2.1.10	forward	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	C04691	3-dehydroquinate;phosphate	C00944;C00009	YDR127W	P08566	210	7	P08566	3-dehydroquinate	Salmonella enterica	P58687	37.0	7.5	wildtype	brenda	12.88
r_0040	R03083	4.2.3.4	forward	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	C04691	3-dehydroquinate;phosphate	C00944;C00009	YDR127W	P08566	1.5	8	P08566	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate	Providencia alcalifaciens	X6Q997	25.0	7.4		brenda	0.0
r_0041	R02978	1.1.1.102	forward	3-ketosphinganine;H+;NADPH	C02934;C00080;C00005	NADP(+);sphinganine	C00006;C00836	YBR265W	P38342	1.07	9	P38342	3-dehydrosphinganine	Candida albicans			7.5		brenda	-1.0
r_0045	R02668	3.7.1.3	forward	3-hydroxy-L-kynurenine;H2O	C03227;C00001	3-hydroxyanthranilate;H+;L-alanine	C00632;C00080;C00041	YLR231C	Q05979	3.5	4	Q05979	3-hydroxy-L-kynurenine	Homo sapiens	Q16719	37.0	8.0	wildtype	brenda	34.8
r_0057	R04739	4.2.1.119	forward	(S)-3-hydroxytetradecanoyl-CoA;NAD	C05260;C00003	3-oxotetradecanoyl-CoA;H+;NADH	C05261;C00080;C00004	YKR009C	Q02207	0.38	8	Q02207	(2E)-butenoyl-CoA	Drosophila melanogaster		22.0	7.5		brenda	-1.0
r_0058	R02665	1.13.11.6	forward	3-hydroxyanthranilate;oxygen	C00632;C00007	2-amino-3-carboxymuconate-6-semialdehyde	C04409	YJR025C	P47096	25	5	P47096	3-Hydroxyanthranilate	Cupriavidus metallidurans			7.2	wildtype	brenda	-1.0
r_0059		2.1.1.145	forward	(2R,3S)-3-isopropylmalate;S-adenosyl-L-methionine	C04411;C00019	3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate;S-adenosyl-L-homocysteine	;C00021	YER175C	P32643		15									
r_0060	R04001	4.2.1.33	forward	(2R,3S)-3-isopropylmalate	C04411	2-isopropylmaleic acid;H2O	C02631;C00001	YGL009C	P07264		15									
r_0060	R04001	4.2.1.33	reverse	2-isopropylmaleic acid;H2O	C02631;C00001	(2R,3S)-3-isopropylmalate	C04411	YGL009C	P07264		15									
r_0061	R04426	1.1.1.85	forward	(2R,3S)-3-isopropylmalate;NAD	C04411;C00003	(2S)-2-isopropyl-3-oxosuccinate;H+;NADH	C04236;C00080;C00004	YCL018W	P04173	3.97	4	P04173	(2R,3S)-3-isopropylmalate	Thermus thermophilus	Q5SIY4	20.0	7.6	wildtype	brenda	36.35
r_0062		4.1.1.1	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YGR087C	P26263	65	4	P26263	pyruvate	Saccharomyces cerevisiae	P26263	25.0	7.0		brenda	100.0
r_0062		4.1.1.1	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YLR044C	P06169	65	4	P06169	pyruvate	Saccharomyces cerevisiae	P06169	25.0	7.0		brenda	100.0
r_0062		4.1.1.1	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YLR134W	P16467	65	4	P16467	pyruvate	Saccharomyces cerevisiae	P16467	25.0	7.0		brenda	100.0
r_0062		4.1.1.43	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YGR087C	P26263	0.34	5	P26263	Pyruvic acid	Saccharomyces cerevisiae	Q06408	30.0	7.0	wildtype	brenda	30.22
r_0062		4.1.1.43	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YLR044C	P06169	0.34	5	P06169	Pyruvic acid	Saccharomyces cerevisiae	Q06408	30.0	7.0	wildtype	brenda	29.79
r_0062		4.1.1.43	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YLR134W	P16467	0.34	5	P16467	Pyruvic acid	Saccharomyces cerevisiae	Q06408	30.0	7.0	wildtype	brenda	29.37
r_0062		4.1.1.74	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YGR087C	P26263	0.88	7	P26263	pyruvate	Enterobacter cloacae		30.0	6.5	wildtype	brenda	-1.0
r_0062		4.1.1.74	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YLR044C	P06169	0.88	7	P06169	pyruvate	Enterobacter cloacae		30.0	6.5	wildtype	brenda	-1.0
r_0062		4.1.1.74	forward	3-methyl-2-oxobutanoate;H+	C00141;C00080	carbon dioxide;isobutyraldehyde	C00011;	YLR134W	P16467	0.88	7	P16467	pyruvate	Enterobacter cloacae		30.0	6.5	wildtype	brenda	-1.0
